0,Year,Month,Day,Hour,Minute,Second,Station,Date(Local_Day),MSLPress(hPa),PET(mm),Rain(mm),RH(%),SoilM(mm),TempEarth10cm(C),Radn(MJ/m2),Tmax(C),Tmin(C),VapPress(hPa),WindSpeed(mps),,,,,
,2010,2,2,9,0,0,30914,20100202,1023.4,4.8,0,82,-44.3,21,21.4,24.7,19.4,20.7,3.7,,,,,
,2010,2,3,9,0,0,30914,20100203,1028.4,5.5,0,70,-48.2,20.5,26.9,24.6,17.7,17.8,2.6,,,,,
,2010,2,4,9,0,0,30914,20100204,1030,5.3,0,74,-52.2,20.5,26.5,24.9,15.6,18.1,2.1,,,,,
,2010,2,5,9,0,0,30914,20100205,1028.3,4.3,0,81,-56.2,21.1,20,25.8,16.2,17.4,1.4,,,,,
,2010,2,6,9,0,0,30914,20100206,1028.9,4.9,0,72,-60.2,21.6,21.7,25.9,17.7,17.6,1.5,,,,,
,2010,2,7,9,0,0,30914,20100207,1027.6,4.8,0,77,-64.1,21.1,24.3,26.5,15.9,18.6,1.6,,,,,
,2010,2,8,9,0,0,30914,20100208,1024.4,3.8,7.2,80,-57.5,20.8,19,26,14.8,18.4,1.7,,,,,
,2010,2,9,9,0,0,30914,20100209,1022.8,4.6,0,87,-61,21.3,20.1,26,17.5,20.5,2.3,,,,,
,2010,2,10,9,0,0,30914,20100210,1016.6,4.6,0,69,-64.9,20.3,21.4,23.3,16,16,2.9,,,,,
,2010,2,11,9,0,0,30914,20100211,1016.9,4,0,83,-68.4,20.5,18.8,25.2,15.5,18.9,1.7,,,,,
,2010,2,12,9,0,0,30914,20100212,1016.6,3.3,0,86,-69.8,19.7,16.7,25.2,13.6,19.6,2.1,,,,,
,2010,2,13,9,0,0,30914,20100213,1015.3,4,2.1,83,-71.8,20.7,18.6,25,18.4,21.3,4.1,,,,,
,2010,2,14,9,0,0,30914,20100214,1015.7,3.7,0,90,-75.2,21.3,17.1,25.6,19.7,22.8,3.4,,,,,
,2010,2,15,9,0,0,30914,20100215,1014.5,2.5,0,84,-78.7,21,10.6,24.7,17.4,21.2,2.1,,,,,
,2010,2,16,9,0,0,30914,20100216,1017.2,2.6,0,84,-83.8,20.5,14,23,17.5,18.9,3,,,,,
,2010,2,17,9,0,0,30914,20100217,1016.2,2.9,0,90,-87,20.8,13.3,27.1,17.9,21.7,1.1,,,,,
,2010,2,18,9,0,0,30914,20100218,1009.7,2.7,0,85,-90.3,21.3,11.5,25.6,19.2,21.9,1.5,,,,,
,2010,2,19,9,0,0,30914,20100219,1005.1,5.4,0,75,-93.4,20.8,24.8,25.4,17.1,17.5,3.6,,,,,
,2010,2,20,9,0,0,30914,20100220,1022.2,4,0,84,-96.4,19.5,23.4,24.9,11.8,16.9,1.6,,,,,
,2010,2,21,9,0,0,30914,20100221,1027.7,4.4,0,85,-99.4,18.5,25.3,25.8,10,16.2,1.4,,,,,
,2010,2,22,9,0,0,30914,20100222,1029.4,3.7,0,87,-102.2,19.2,20.2,26.3,12.5,18.2,1.1,,,,,
,2010,2,23,9,0,0,30914,20100223,1027.2,3.6,0,78,-104.8,20.2,16.6,25,15.7,18,2.1,,,,,
,2010,2,24,9,0,0,30914,20100224,1020.4,4.5,0,76,-107.4,20.6,23,26.4,17.5,19.3,2.6,,,,,
,2010,2,25,9,0,0,30914,20100225,1015.3,2.8,3.1,83,-104.8,21,13,25.3,17.8,22,2.5,,,,,
,2010,2,26,9,0,0,30914,20100226,1019.5,4.6,0,75,-106.9,18.9,22.3,25.7,13.2,16,2.2,,,,,
,2010,2,27,9,0,0,30914,20100227,1027.3,4.7,0,65,-109.3,18.8,25.2,25.3,12.8,14.3,2.5,,,,,
,2010,2,28,9,0,0,30914,20100228,1025.1,4.2,0,73,-111.6,19.4,22.8,25.7,14.2,15.8,1.4,,,,,
,2010,3,1,9,0,0,30914,20100301,1019.2,4,0,77,-113.1,18.8,23.2,26.3,11,16.6,1.8,,,,,
,2010,3,2,9,0,0,30914,20100302,1012,2.8,0,89,-113.3,19.8,14.7,24.7,15.5,19.6,1.3,,,,,
,2010,3,3,9,0,0,30914,20100303,1007.3,3.7,0,88,-113.8,19.8,18.2,23.8,15.7,18.7,2.2,,,,,
,2010,3,4,9,0,0,30914,20100304,1010.8,4.5,0,73,-115.4,18.5,23.9,24,13.4,14.9,2.7,,,,,
,2010,3,5,9,0,0,30914,20100305,1012.4,4.5,0,85,-116.8,18,25,27.2,10.2,15.9,1.3,,,,,
,2010,3,6,9,0,0,30914,20100306,1015.5,4.8,0,61,-118.3,18.9,21.8,25.8,14,13.9,3.3,,,,,
,2010,3,7,9,0,0,30914,20100307,1018.1,3.8,0,61,-119.7,18.2,17.8,23.1,12.8,11.8,2.6,,,,,
,2010,3,8,9,0,0,30914,20100308,1016.9,3.6,0,69,-121,17.4,20.3,24,8.9,12,1.4,,,,,
,2010,3,9,9,0,0,30914,20100309,1017.9,2.9,0,82,-122.3,18.4,14.5,24.7,13.2,16.2,1.1,,,,,
,2010,3,10,9,0,0,30914,20100310,1017,4,0,77,-123.6,18.9,19.6,25.9,15.5,16.3,1.7,,,,,
,2010,3,11,9,0,0,30914,20100311,1014.2,3.3,0,80,-124.7,18.6,16.9,24.5,12.9,17.5,3.3,,,,,
,2010,3,12,9,0,0,30914,20100312,1014.9,3.8,0,77,-125.9,17.7,20.5,22.5,12.1,14.9,3.7,,,,,
,2010,3,13,9,0,0,30914,20100313,1021,3.1,0,67,-126.7,15.7,17.1,20.6,5.8,9.8,2.9,,,,,
,2010,3,14,9,0,0,30914,20100314,1019.3,3.8,0,78,-127.8,16.7,21.6,24.9,11,14.9,2,,,,,
,2010,3,15,9,0,0,30914,20100315,1017.7,3.4,0,75,-128.7,17.7,18.3,23.3,12.8,16.2,2.9,,,,,
,2010,3,16,9,0,0,30914,20100316,1016.2,2.1,0,86,-129.7,17.2,11.7,20.3,10.2,14.8,2.3,,,,,
,2010,3,17,9,0,0,30914,20100317,1012.6,3.2,0,74,-130.5,16.5,15.8,23,11.1,14.7,3.2,,,,,
,2010,3,18,9,0,0,30914,20100318,1023.2,3.2,0,72,-131.4,14,22.7,20.7,2,8.4,2.4,,,,,
,2010,3,19,9,0,0,30914,20100319,1023.3,1.3,0,78,-132.1,15.8,6.9,20.3,7.6,14.2,2.4,,,,,
,2010,3,20,9,0,0,30914,20100320,1024.4,2.6,0,85,-132.7,17,14.6,23.3,14.5,18.2,2.8,,,,,
,2010,3,21,9,0,0,30914,20100321,1023,3.2,0,84,-133.5,17.4,16.8,25.6,15.4,18.3,2.5,,,,,
,2010,3,22,9,0,0,30914,20100322,1019.6,2.2,0,89,-134.2,17.6,12.2,22.7,13.5,18.3,2.6,,,,,
,2010,3,23,9,0,0,30914,20100323,1017.2,2.2,0,80,-133.6,17,11.2,23.6,13.8,17.6,2.6,,,,,
,2010,3,24,9,0,0,30914,20100324,1013.1,1.7,9.8,91,-123.1,16.4,9.3,22.4,11.5,17.1,3.5,,,,,
,2010,3,25,9,0,0,30914,20100325,1011.6,2.9,2.1,70,-119.4,16.1,14.5,20.3,12.6,12.9,3.8,,,,,
,2010,3,26,9,0,0,30914,20100326,1018.6,2.8,0,81,-120.6,16.2,14.4,22.8,13.8,16,3.4,,,,,
,2010,3,27,9,0,0,30914,20100327,1021.4,2.7,0,85,-121.9,16.2,15.6,23.9,11.3,16.4,2.4,,,,,
,2010,3,28,9,0,0,30914,20100328,1023.2,3.4,0,91,-123.2,16.5,16,25.4,11.2,16.6,2.6,,,,,
,2010,3,29,9,0,0,30914,20100329,1034.1,3.9,0,59,-124.4,16.6,18.3,21.4,13.8,11.3,4.4,,,,,
,2010,3,30,9,0,0,30914,20100330,1034.9,3.1,0,67,-125.5,15.4,17.2,21.4,11.2,11.4,3.4,,,,,
,2010,3,31,9,0,0,30914,20100331,1033.6,2.3,0,71,-126.6,16.3,11,21.7,13.1,13.6,2.7,,,,,
,2010,4,1,9,0,0,30914,20100401,1031.7,2.1,0,83,-127.2,16,12.4,23,11,14.1,1.2,,,,,
,2010,4,2,9,0,0,30914,20100402,1028,1.9,0,85,-127.8,15.8,11.5,22.2,10,13.6,0.8,,,,,
,2010,4,3,9,0,0,30914,20100403,1023.1,2.2,0,77,-128.3,15.9,12.9,22.1,11.2,13.3,1.5,,,,,
,2010,4,4,9,0,0,30914,20100404,1012.2,1.9,0,88,-128.9,16.1,11.2,23.2,11.2,16.8,1.4,,,,,
,2010,4,5,9,0,0,30914,20100405,1009.1,3.1,0,77,-129.3,16.2,16.9,25.1,11.8,14.5,1.6,,,,,
,2010,4,6,9,0,0,30914,20100406,1006,1.3,15.9,90,-115.1,17,6.1,19.6,13.6,16.8,2,,,,,
,2010,4,7,9,0,0,30914,20100407,1017.9,2.8,0,71,-115.8,15.2,13.9,18.9,12.5,11.4,3.7,,,,,
,2010,4,8,9,0,0,30914,20100408,1025.8,2.5,0,74,-116.7,13.3,16.4,19,5.6,9.8,2.2,,,,,
,2010,4,9,9,0,0,30914,20100409,1024.3,2.4,0,84,-117.5,12.6,18,20.7,5.2,10.7,1.3,,,,,
,2010,4,10,9,0,0,30914,20100410,1025.2,2.5,0,90,-118.3,12.3,18,21.9,4.2,11.4,0.9,,,,,
,2010,4,11,9,0,0,30914,20100411,1025.9,2,0,91,-119.2,12.4,14,21.7,5.4,12.1,0.9,,,,,
,2010,4,12,9,0,0,30914,20100412,1025.3,1.5,0,91,-120,13.5,12,21.2,7.4,13.5,1.1,,,,,
,2010,4,13,9,0,0,30914,20100413,1018.3,2.1,2.8,77,-116.5,14.1,11.5,21.2,8.6,13.1,2.3,,,,,
,2010,4,14,9,0,0,30914,20100414,1008.5,2.4,0,90,-115.4,16,12.1,22.1,15.3,18.4,3.1,,,,,
,2010,4,15,9,0,0,30914,20100415,1012.3,1.9,0,83,-116.2,15,11,21,11.7,15.5,2.8,,,,,
,2010,4,16,9,0,0,30914,20100416,1014.6,2.5,0,78,-116.9,15.2,14.3,19.8,13.2,14.3,2.9,,,,,
,2010,4,17,9,0,0,30914,20100417,1025.7,1.2,0,87,-117.8,12.4,8.3,17.4,3.8,10.3,1.9,,,,,
,2010,4,18,9,0,0,30914,20100418,1023.9,1.8,0,86,-118.6,14,12.3,21.7,9.5,14.5,1.6,,,,,
,2010,4,19,9,0,0,30914,20100419,1017.9,1.8,0,82,-119.4,14.1,10.4,20.1,10.8,14.2,3.2,,,,,
,2010,4,20,9,0,0,30914,20100420,1014.8,2.1,0,76,-120.2,14.9,11.9,20.2,13.8,13.6,2.7,,,,,
,2010,4,21,9,0,0,30914,20100421,1020.2,1.4,0,95,-120.9,13.4,9.9,20.1,5.9,12.9,1.5,,,,,
,2010,4,22,9,0,0,30914,20100422,1022,1.5,0,77,-121.7,14.4,9,19.4,11.5,13.3,2.3,,,,,
,2010,4,23,9,0,0,30914,20100423,1021.3,1.6,0,91,-122.3,14.3,10.6,20,10.8,14.6,1.8,,,,,
,2010,4,24,9,0,0,30914,20100424,1019.3,1.7,0,88,-123,14.3,13.2,22.5,10.3,16.4,2.6,,,,,
,2010,4,25,9,0,0,30914,20100425,1024.8,1.6,0,94,-123.7,14.7,11.4,23.1,11.5,16.4,1,,,,,
,2010,4,26,9,0,0,30914,20100426,1025.1,1.8,0,88,-123.8,15.1,10.7,22.3,11.8,16.6,2.5,,,,,
,2010,4,27,9,0,0,30914,20100427,1022.3,1.6,6.8,82,-117.8,16.2,8.2,22.5,16.3,18,3.7,,,,,
,2010,4,28,9,0,0,30914,20100428,1024.1,1.2,0,97,-117.8,15,10.2,19.9,10.1,15.1,1,,,,,
,2010,4,29,9,0,0,30914,20100429,1022.9,1.7,0,94,-118.6,14.3,13.4,22,10.5,14.5,1,,,,,
,2010,4,30,9,0,0,30914,20100430,1018.8,1.8,2.3,95,-115.9,13.8,13.7,21.2,9.1,14.1,1.6,,,,,
,2010,5,1,9,0,0,30914,20100501,1012.9,1.2,1.8,94,-114,14.8,8.6,18,13,16.2,2.5,,,,,
,2010,5,2,9,0,0,30914,20100502,1024,1.6,0,89,-114.5,11.8,13.9,17.1,3.9,9.8,1.3,,,,,
,2010,5,3,9,0,0,30914,20100503,1026.8,0.8,0,93,-114.9,10.9,7.1,16.5,3,10.1,1.4,,,,,
,2010,5,4,9,0,0,30914,20100504,1023.7,1.4,0,86,-115.4,12.3,12.2,18.2,8.4,14.4,2.4,,,,,
,2010,5,5,9,0,0,30914,20100505,1033.2,1.7,0,82,-115.8,10.4,13.5,17.6,3.6,8.9,1.8,,,,,
,2010,5,6,9,0,0,30914,20100506,1033.1,1.1,0,88,-116.3,9.6,10,17.3,2,8.6,1.2,,,,,
,2010,5,7,9,0,0,30914,20100507,1025.4,1,0,76,-116.7,12,7.4,17.6,8,11,1.2,,,,,
,2010,5,8,9,0,0,30914,20100508,1017.3,0.9,0,87,-117.2,11.6,6.1,17.4,7.9,11.4,1.5,,,,,
,2010,5,9,9,0,0,30914,20100509,1014,0.9,0,84,-117.6,12.5,5.3,17.8,10.8,13.2,2.5,,,,,
,2010,5,10,9,0,0,30914,20100510,1019.1,1.8,0,84,-118,12,9.5,20.8,10,12.8,2.4,,,,,
,2010,5,11,9,0,0,30914,20100511,1021.5,1.5,0,80,-118.1,12.8,4.6,18.7,13,13.4,4.1,,,,,
,2010,5,12,9,0,0,30914,20100512,1014.4,0.9,4.5,86,-111,14.2,3.8,18.9,15.1,16.9,6.8,,,,,
,2010,5,13,9,0,0,30914,20100513,1008.9,1.3,9.5,95,-98.6,15.5,9.6,21.8,15.8,19,1.9,,,,,
,2010,5,14,9,0,0,30914,20100514,1008.7,1.4,3.7,95,-95.7,14.5,11,20.8,11.9,15.7,1.8,,,,,
,2010,5,15,9,0,0,30914,20100515,1004.1,1.5,0,80,-95,14.1,6.5,20.1,12.8,14.3,2.9,,,,,
,2010,5,16,9,0,0,30914,20100516,1002.1,1.4,4.9,82,-90.6,13.1,9.4,18.9,10.8,13.7,2.5,,,,,
,2010,5,17,9,0,0,30914,20100517,1008.2,1.1,0,97,-91.3,12.1,10.9,19.4,6.3,12.5,0.7,,,,,
,2010,5,18,9,0,0,30914,20100518,1009,1,0,97,-91.5,11.4,8.1,18.1,5.5,10.8,0.7,,,,,
,2010,5,19,9,0,0,30914,20100519,1015.6,0.8,2.9,98,-88.1,11,6.7,15.4,5.9,11.4,0.8,,,,,
,2010,5,20,9,0,0,30914,20100520,1019.2,0.9,11.4,98,-79,11.5,5.2,15.2,5.3,10.2,2,,,,,
,2010,5,21,9,0,0,30914,20100521,1007.9,0.3,0,87,-77.8,12.3,2.5,13.9,7.1,12.6,3.6,,,,,
,2010,5,22,9,0,0,30914,20100522,1019.9,1,0,90,-79.8,11.6,10.4,17,8.1,11.8,1,,,,,
,2010,5,23,9,0,0,30914,20100523,1021.8,0.7,27.8,97,-55.6,10.6,3.4,16.5,5.1,10.7,1.2,,,,,
,2010,5,24,9,0,0,30914,20100524,1008.4,0.1,8.8,94,-47.2,13.5,1.3,16.5,7.3,16.7,2.9,,,,,
,2010,5,25,9,0,0,30914,20100525,998.6,1.1,12.8,89,-35.1,11.9,7.1,16.2,9.3,12.6,3.5,,,,,
,2010,5,26,9,0,0,30914,20100526,996.4,1.3,1.5,87,-33.6,12.3,7.5,17.6,11.2,13,4.5,,,,,
,2010,5,27,9,0,0,30914,20100527,1007.8,0.9,20.9,97,-15.8,12.2,4.6,16.7,9.8,12.9,2,,,,,
,2010,5,28,9,0,0,30914,20100528,1006.1,1,0,89,-19.6,12.5,8.3,17.6,10.8,12.6,3.2,,,,,
,2010,5,29,9,0,0,30914,20100529,1010.8,0.8,1.1,92,-19.1,11.5,7.5,15,7.4,11.8,2.3,,,,,
,2010,5,30,9,0,0,30914,20100530,1018,0.9,0,91,-20.6,10,10.2,15.6,4.3,9.8,1.1,,,,,
,2010,5,31,9,0,0,30914,20100531,1024.5,1.1,8,87,-12.6,9.2,8.6,15.2,3.9,8.7,1.9,,,,,
,2010,6,1,9,0,0,30914,20100601,1016.5,0.2,24.2,91,11.7,11,1.9,15,6.9,13.1,4.9,,,,,
,2010,6,2,9,0,0,30914,20100602,1012.5,0.9,3.7,96,-5.2,11.3,7.4,18.5,11.6,14.7,2,,,,,
,2010,6,3,9,0,0,30914,20100603,1018.5,0.6,0,95,-10,10.5,5.3,15,8.5,12.3,0.9,,,,,
,2010,6,4,9,0,0,30914,20100604,1026.8,1,0,90,-11.7,9.1,10.3,16.6,3.3,8.5,1,,,,,
,2010,6,5,9,0,0,30914,20100605,1026.1,0.8,1.3,90,-10.4,8.9,6.5,16.8,4,10.5,3.2,,,,,
,2010,6,6,9,0,0,30914,20100606,1007.2,0.3,3.3,91,-5.7,12.4,3,18.4,9.6,16.4,4.6,,,,,
,2010,6,7,9,0,0,30914,20100607,993.1,1.1,5.1,93,-5,13.7,6.9,17.4,13.9,15.5,4.7,,,,,
,2010,6,8,9,0,0,30914,20100608,996.1,0.9,1.5,90,-4,11.5,7.6,13.3,8,10.5,2.2,,,,,
,2010,6,9,9,0,0,30914,20100609,1013.8,0.8,0,84,-6.2,8.4,10,12.6,1.2,6.9,2.2,,,,,
,2010,6,10,9,0,0,30914,20100610,1015.3,0.6,7,89,-0.6,9,6.5,15.3,3.7,9.6,2,,,,,
,2010,6,11,9,0,0,30914,20100611,995,0.5,2.1,93,-2.4,11.6,4.7,15.2,8.9,14,3.4,,,,,
,2010,6,12,9,0,0,30914,20100612,1007.7,0.8,4.7,89,-0.1,10.4,5.4,16.4,9.5,12.7,3.6,,,,,
,2010,6,13,9,0,0,30914,20100613,1002.5,0.7,3.9,95,-0.2,10.7,6.6,14.3,8,12.1,2.8,,,,,
,2010,6,14,9,0,0,30914,20100614,1010.7,0.8,0,89,-1.8,8.8,6.2,14.3,5.1,9.4,2.7,,,,,
,2010,6,15,9,0,0,30914,20100615,1015.4,1,0,75,-4.2,9.2,9.2,12,5.3,7.7,3,,,,,
,2010,6,16,9,0,0,30914,20100616,1028.7,0.7,0,93,-4.7,6.7,9.3,13.5,-0.4,6.7,1.1,,,,,
,2010,6,17,9,0,0,30914,20100617,1032.3,0.6,0,98,-5.3,7.1,8.6,15.5,0.9,8.4,0.6,,,,,
,2010,6,18,9,0,0,30914,20100618,1029.5,0.4,0,93,-6,9,5.6,15.9,3.8,10.5,1.8,,,,,
,2010,6,19,9,0,0,30914,20100619,1025.7,0.8,8.7,86,2.5,9.3,4.5,16.2,8.5,11.8,3.6,,,,,
,2010,6,20,9,0,0,30914,20100620,1012.9,0.5,1.4,94,-0.5,12.6,3.3,17.2,11.3,15.9,3.5,,,,,
,2010,6,21,9,0,0,30914,20100621,1018.4,1.1,3.2,84,1.8,11.5,7.5,16.6,11,12.4,3.4,,,,,
,2010,6,22,9,0,0,30914,20100622,1026.1,0.6,0,93,-1.8,8.8,7.8,14.3,3.4,9.1,1.3,,,,,
,2010,6,23,9,0,0,30914,20100623,1022.3,0.5,0,97,-2.3,8.9,6.8,14.3,5.3,10.2,1,,,,,
,2010,6,24,9,0,0,30914,20100624,1025.6,0.5,35.6,88,33.8,8.4,2,12.5,5.9,9.1,3.2,,,,,
,2010,6,25,9,0,0,30914,20100625,1022.5,0.6,45.8,84,38.7,9.9,5,14.9,7.4,11.3,3.7,,,,,
,2010,6,26,9,0,0,30914,20100626,1011.4,0.6,2.6,98,3.5,9.7,6.8,14,6.4,10.5,1.5,,,,,
,2010,6,27,9,0,0,30914,20100627,1011.1,0.7,0,87,-0.1,9,6.9,14.5,5.5,10.4,2.2,,,,,
,2010,6,28,9,0,0,30914,20100628,1014.1,0.5,5.9,96,7.3,7.7,4.5,14.1,4.4,9.4,1.3,,,,,
,2010,6,29,9,0,0,30914,20100629,1008.5,0.6,9.8,93,7.6,9.7,7.2,15,6.7,11.9,2.4,,,,,
,2010,6,30,9,0,0,30914,20100630,1007.5,0.7,0,95,1.2,9.4,6.8,13.8,7.8,11.3,1.8,,,,,
,2010,7,1,9,0,0,30914,20100701,1016.4,0.6,0,97,-1.3,7.3,9.3,13.2,1.9,7.9,1.2,,,,,
,2010,7,2,9,0,0,30914,20100702,1020.7,0.6,0,95,-2.1,7.4,7.4,15.3,3.2,9.9,1,,,,,
,2010,7,3,9,0,0,30914,20100703,1023.2,0.6,0,97,-2.7,7,7.7,13.7,2,8.4,0.6,,,,,
,2010,7,4,9,0,0,30914,20100704,1016.8,0.7,2.8,97,0.6,7.8,2.6,12.7,3.6,9.4,2.8,,,,,
,2010,7,5,9,0,0,30914,20100705,1005,0.5,1.8,78,0.2,9.3,4,14.3,5.3,10.8,8.3,,,,,
,2010,7,6,9,0,0,30914,20100706,1005.1,1.2,0,75,-2.2,10.1,4.7,16.4,10.6,11.1,3.6,,,,,
,2010,7,7,9,0,0,30914,20100707,1006.4,1.4,0,83,-3,10.3,8.6,15.9,9.6,10.9,3.2,,,,,
,2010,7,8,9,0,0,30914,20100708,1007.1,1.1,0,78,-3.5,9.4,8.8,13.6,6.7,8.8,3.2,,,,,
,2010,7,9,9,0,0,30914,20100709,1015.5,1,0,84,-4.4,7.3,10,13.9,1.6,7,1.7,,,,,
,2010,7,10,9,0,0,30914,20100710,1028.1,0.8,0,88,-5.2,5.8,10.4,12.4,-1.5,6.2,1.1,,,,,
,2010,7,11,9,0,0,30914,20100711,1031.1,0.8,0,90,-5.9,5.2,8.7,12.8,-1.5,6.1,0.6,,,,,
,2010,7,12,9,0,0,30914,20100712,1028.4,0.8,0,87,-6.8,5.2,9.8,13.7,-0.2,6.5,1.4,,,,,
,2010,7,13,9,0,0,30914,20100713,1024.1,0.8,0,91,-7.6,5.3,10.3,13.7,-0.1,6.9,1,,,,,
,2010,7,14,9,0,0,30914,20100714,1020.9,1,0,89,-8.4,5.2,10.3,14.8,-0.1,6.7,1.3,,,,,
,2010,7,15,9,0,0,30914,20100715,1016.1,0.9,0,91,-9.1,5.3,9.7,15.5,0.2,7.2,0.9,,,,,
,2010,7,16,9,0,0,30914,20100716,1009.6,0.3,25.7,94,10.1,6.7,4.4,14.2,2.5,9.5,2.3,,,,,
,2010,7,17,9,0,0,30914,20100717,1006.5,0.7,0,93,1.1,8.7,6.6,15.5,7.1,11.7,2.1,,,,,
,2010,7,18,9,0,0,30914,20100718,1011.8,0.7,0,97,-1.3,7.8,7,15,3.2,9.9,0.8,,,,,
,2010,7,19,9,0,0,30914,20100719,1022.7,0.5,0,98,-2.1,7,6.2,12.3,2.1,8.3,0.8,,,,,
,2010,7,20,9,0,0,30914,20100720,1023.5,0.7,0,94,-2.8,8.1,7.2,14.3,4.3,10.1,1.1,,,,,
,2010,7,21,9,0,0,30914,20100721,1023.3,1,25.2,82,18.3,8.2,4.2,14.5,5.8,9.6,3.5,,,,,
,2010,7,22,9,0,0,30914,20100722,1012.8,0.6,13.8,89,11.7,10.8,6,16.9,9.4,13.8,3.5,,,,,
,2010,7,23,9,0,0,30914,20100723,1009.7,0.8,3.7,96,3.3,10.5,7.3,15.8,8.6,12.3,1.5,,,,,
,2010,7,24,9,0,0,30914,20100724,1011.7,1,0,89,-1.1,9.2,9.3,16,5.2,10.3,1.6,,,,,
